ticker,date,period_ending,estimate,reported,surprise,surprise%
NKLA,4-Aug-23,Jun-23,-0.24,-0.2,0.04,16.67
NKTX,10-Aug-23,Jun-23,-0.69,-0.68,0.01,1.45
NLY,26-Jul-23,Jun-23,0.69,0.72,0.03,4.35
NMIH,1-Aug-23,Jun-23,0.87,0.95,0.08,9.2
NMRK,28-Jul-23,Jun-23,0.23,0.18,-0.05,-21.74
NN,9-Aug-23,Jun-23,-0.14,-0.15,-0.01,-7.14
NNN,2-Aug-23,Jun-23,0.81,0.54,-0.27,-33.33
NOC,27-Jul-23,Jun-23,5.31,5.34,0.03,0.56
NOG,2-Aug-23,Jun-23,1.35,1.49,0.14,10.37
NOV,26-Jul-23,Jun-23,0.3,0.39,0.09,30
NOVA,26-Jul-23,Jun-23,-0.45,-0.74,-0.29,-64.44
NOVT,8-Aug-23,Jun-23,0.72,0.8,0.08,11.11
NOW,26-Jul-23,Jun-23,2.05,2.37,0.32,15.61
NPO,8-Aug-23,Jun-23,1.73,1.83,0.1,5.78
NRDS,2-Aug-23,Jun-23,-0.03,-0.14,-0.11,-366.67
NRG,8-Aug-23,Jun-23,1.07,1.1,0.03,2.8
NRGV,8-Aug-23,Jun-23,-0.16,-0.18,-0.02,-12.5
NRIM,27-Jul-23,Jun-23,1.4,0.98,-0.42,-30
NRIX,13-Jul-23,May-23,-0.63,-0.45,0.18,28.57
NSA,7-Aug-23,Jun-23,0.7,0.68,-0.02,-2.86
NSC,27-Jul-23,Jun-23,3.15,2.95,-0.2,-6.35
NSIT,3-Aug-23,Jun-23,2.58,2.56,-0.02,-0.78
NSP,1-Aug-23,Jun-23,1.24,0.64,-0.6,-48.39
NSSC,29-Aug-23,Jun-23,0.28,0.28,0,0
NSTG,3-Aug-23,Jun-23,-0.7,-0.92,-0.22,-31.43
NTAP,23-Aug-23,Jul-23,1.07,1.15,0.08,7.48
NTB,31-Jul-23,Jun-23,1.15,1.14,-0.01,-0.87
NTCT,27-Jul-23,Jun-23,0.31,0.31,0,0
NTGR,26-Jul-23,Jun-23,-0.35,-0.16,0.19,54.29
NTLA,3-Aug-23,Jun-23,-1.32,-1.4,-0.08,-6.06
NTNX,31-Aug-23,Jul-23,0.15,0.24,0.09,60
NTRA,3-Aug-23,Jun-23,-1.09,-0.97,0.12,11.01
NTRS,19-Jul-23,Jun-23,1.63,1.79,0.16,9.82
NTST,26-Jul-23,Jun-23,0.29,-0.01,-0.3,-103.45
NU,15-Aug-23,Jun-23,0.04,0.06,0.02,50
NUE,24-Jul-23,Jun-23,5.59,5.81,0.22,3.94
NUS,1-Aug-23,Jun-23,0.53,0.54,0.01,1.89
NUVB,3-Aug-23,Jun-23,-0.11,-0.09,0.02,18.18
NUVL,10-Aug-23,Jun-23,-0.53,-0.51,0.02,3.77
NVAX,8-Aug-23,Jun-23,-1.24,0.58,1.82,146.77
NVCR,27-Jul-23,Jun-23,-0.5,-0.54,-0.04,-8
NVDA,23-Aug-23,Jul-23,2.09,2.7,0.61,29.19
NVEE,9-Aug-23,Jun-23,1.31,1.29,-0.02,-1.53
NVR,25-Jul-23,Jun-23,100.98,116.54,15.56,15.41
NVRO,1-Aug-23,Jun-23,-0.68,-0.69,-0.01,-1.47
NVST,2-Aug-23,Jun-23,0.41,0.43,0.02,4.88
NVT,28-Jul-23,Jun-23,0.68,0.77,0.09,13.24
NVTA,8-Aug-23,Jun-23,-0.37,-0.3,0.07,18.92
NVTS,14-Aug-23,Jun-23,-0.07,-0.05,0.02,28.57
NWBI,24-Jul-23,Jun-23,0.27,0.27,0,0
NWE,24-Jul-23,Jun-23,0.51,0.35,-0.16,-31.37
NWL,28-Jul-23,Jun-23,0.13,0.24,0.11,84.62
NWN,3-Aug-23,Jun-23,-0.07,0.03,0.1,142.86
NWPX,2-Aug-23,Jun-23,0.79,0.74,-0.05,-6.33
NWSA,10-Aug-23,Jun-23,0.09,0.14,0.05,55.56
NXRT,25-Jul-23,Jun-23,0.92,0.88,-0.04,-4.35
NXST,8-Aug-23,Jun-23,2.88,2.64,-0.24,-8.33
NYCB,27-Jul-23,Jun-23,0.32,0.47,0.15,46.88
NYMT,2-Aug-23,Jun-23,0.11,-0.33,-0.44,-400
NYT,8-Aug-23,Jun-23,0.21,0.38,0.17,80.95
