ticker,date,period_ending,estimate,reported,surprise,surprise%
PRK,24-Jul-23,Jun-23,2.01,1.95,-0.06,-2.99
PRLB,4-Aug-23,Jun-23,0.3,0.33,0.03,10
PRM,3-Aug-23,Jun-23,-0.05,-0.05,0,0
PRMW,10-Aug-23,Jun-23,0.21,0.24,0.03,14.29
PRO,25-Jul-23,Jun-23,-0.06,-0.01,0.05,83.33
PRTA,3-Aug-23,Jun-23,-0.92,-1.03,-0.11,-11.96
PRTS,1-Aug-23,Jun-23,-0.01,-0.01,0,0
PRU,1-Aug-23,Jun-23,3.04,2.94,-0.1,-3.29
PRVA,3-Aug-23,Jun-23,0.05,0.06,0.01,20
PSA,2-Aug-23,Jun-23,4.2,3,-1.2,-28.57
PSFE,15-Aug-23,Jun-23,0.54,0.56,0.02,3.7
PSN,2-Aug-23,Jun-23,0.49,0.63,0.14,28.57
PSTG,30-Aug-23,Jul-23,0.28,0.34,0.06,21.43
PSTL,8-Aug-23,Jun-23,0.24,0.03,-0.21,-87.5
PSX,2-Aug-23,Jun-23,3.54,3.87,0.33,9.32
PTC,26-Jul-23,Jun-23,1.01,0.99,-0.02,-1.98
PTCT,3-Aug-23,Jun-23,-1.58,-2.66,-1.08,-68.35
PTEN,26-Jul-23,Jun-23,0.44,0.44,0,0
PTGX,3-Aug-23,Jun-23,-0.65,-0.68,-0.03,-4.62
PTLO,3-Aug-23,Jun-23,0.14,0.12,-0.02,-14.29
PTON,23-Aug-23,Jun-23,-0.45,-0.68,-0.23,-51.11
PTVE,2-Aug-23,Jun-23,0.21,0.2,-0.01,-4.76
PUBM,8-Aug-23,Jun-23,-0.09,-0.11,-0.02,-22.22
PUMP,2-Aug-23,Jun-23,0.41,0.34,-0.07,-17.07
PVH,29-Aug-23,Jul-23,1.75,1.98,0.23,13.14
PWR,3-Aug-23,Jun-23,1.67,1.65,-0.02,-1.2
PWSC,7-Aug-23,Jun-23,0.23,0.23,0,0
PX,10-Aug-23,Jun-23,0.18,0.22,0.04,22.22
PXD,1-Aug-23,Jun-23,4.12,4.49,0.37,8.98
PYCR,16-Aug-23,Jun-23,0.06,0.08,0.02,33.33
PYPL,2-Aug-23,Jun-23,1.16,1.16,0,0
PZZA,3-Aug-23,Jun-23,0.59,0.59,0,0
QCOM,2-Aug-23,Jun-23,1.81,1.87,0.06,3.31
QCRH,26-Jul-23,Jun-23,1.35,1.69,0.34,25.19
QDEL,8-Aug-23,Jun-23,0.25,0.26,0.01,4
QGEN,8-Aug-23,Jun-23,0.5,0.51,0.01,2
QLYS,3-Aug-23,Jun-23,1.02,1.27,0.25,24.51
QNST,9-Aug-23,Jun-23,-0.02,-0.01,0.01,50
QRVO,2-Aug-23,Jun-23,0.15,0.34,0.19,126.67
QS,26-Jul-23,Jun-23,-0.23,-0.26,-0.03,-13.04
QTRX,7-Aug-23,Jun-23,-0.36,-0.16,0.2,55.56
QTWO,2-Aug-23,Jun-23,0.12,0.07,-0.05,-41.67
R,26-Jul-23,Jun-23,2.97,3.61,0.64,21.55
RAMP,9-Aug-23,Jun-23,0.24,0.29,0.05,20.83
RAPT,11-Aug-23,Jun-23,-0.8,-0.66,0.14,17.5
RARE,3-Aug-23,Jun-23,-2.11,-2.25,-0.14,-6.64
RBA,3-Aug-23,Jun-23,0.77,0.85,0.08,10.39
RBB,24-Jul-23,Jun-23,0.55,0.58,0.03,5.45
RBBN,26-Jul-23,Jun-23,0.04,0.04,0,0
RBC,4-Aug-23,Jun-23,1.97,2.13,0.16,8.12
RBCAA,21-Jul-23,Jun-23,1.29,1,-0.29,-22.48
RBLX,9-Aug-23,Jun-23,-0.46,-0.46,0,0
RC,7-Aug-23,Jun-23,0.36,0.35,-0.01,-2.78
RCEL,10-Aug-23,Jun-23,-0.34,-0.41,-0.07,-20.59
RCKT,10-Aug-23,Jun-23,-0.8,-0.82,-0.02,-2.5
RCL,27-Jul-23,Jun-23,1.58,1.82,0.24,15.19
RCUS,7-Aug-23,Jun-23,-1,-1.04,-0.04,-4
RDFN,3-Aug-23,Jun-23,-0.32,-0.25,0.07,21.88
RDN,2-Aug-23,Jun-23,0.76,0.91,0.15,19.74
RDNT,8-Aug-23,Jun-23,0.07,0.24,0.17,242.86
REFI,9-Aug-23,Jun-23,0.65,0.55,-0.1,-15.38
REG,3-Aug-23,Jun-23,1.01,0.5,-0.51,-50.5
REGN,3-Aug-23,Jun-23,9.92,10.24,0.32,3.23
REI,3-Aug-23,Jun-23,0.13,0.14,0.01,7.69
RELY,2-Aug-23,Jun-23,-0.17,-0.11,0.06,35.29
REPL,3-Aug-23,Jun-23,-0.85,-0.75,0.1,11.76
REVG,13-Sep-23,Jul-23,0.25,0.35,0.1,40
REX,30-Aug-23,Jul-23,0.87,0.52,-0.35,-40.23
REXR,19-Jul-23,Jun-23,0.54,0.26,-0.28,-51.85
REYN,9-Aug-23,Jun-23,0.28,0.32,0.04,14.29
REZI,3-Aug-23,Jun-23,0.46,0.34,-0.12,-26.09
RF,21-Jul-23,Jun-23,0.6,0.59,-0.01,-1.67
RGA,3-Aug-23,Jun-23,4.12,4.4,0.28,6.8
RGEN,2-Aug-23,Jun-23,0.49,0.53,0.04,8.16
RGLD,2-Aug-23,Jun-23,0.88,0.88,0,0
RGNX,2-Aug-23,Jun-23,-1.26,-1.66,-0.4,-31.75
RGP,24-Jul-23,May-23,0.24,0.44,0.2,83.33
RH,7-Sep-23,Jul-23,2.63,3.93,1.3,49.43
RHI,25-Jul-23,Jun-23,1.13,1,-0.13,-11.5
RHP,3-Aug-23,Jun-23,1.98,1.15,-0.83,-41.92
RICK,9-Aug-23,Jun-23,1.28,0.96,-0.32,-25
RIGL,1-Aug-23,Jun-23,-0.08,-0.04,0.04,50
RIOT,9-Aug-23,Jun-23,-0.24,-0.17,0.07,29.17
RIVN,8-Aug-23,Jun-23,-1.41,-1.08,0.33,23.4
RJF,26-Jul-23,Jun-23,2.1,1.85,-0.25,-11.9
RKLB,8-Aug-23,Jun-23,-0.1,-0.1,0,0
RKT,3-Aug-23,Jun-23,-0.05,-0.02,0.03,60
RL,10-Aug-23,Jun-23,2.15,2.34,0.19,8.84
RLAY,8-Aug-23,Jun-23,-0.78,-0.81,-0.03,-3.85
RLI,24-Jul-23,Jun-23,1.2,1.16,-0.04,-3.33
RLJ,3-Aug-23,Jun-23,0.53,0.22,-0.31,-58.49
RM,2-Aug-23,Jun-23,0.48,0.63,0.15,31.25
RMAX,2-Aug-23,Jun-23,0.39,0.4,0.01,2.56
RMBS,31-Jul-23,Jun-23,0.39,0.44,0.05,12.82
RMD,3-Aug-23,Jun-23,1.67,1.6,-0.07,-4.19
RMNI,2-Aug-23,Jun-23,0.12,0.1,-0.02,-16.67
RMR,9-Aug-23,Jun-23,0.47,0.48,0.01,2.13
RNA,8-Aug-23,Jun-23,-0.84,-0.66,0.18,21.43
RNG,7-Aug-23,Jun-23,0.75,0.83,0.08,10.67
RNR,25-Jul-23,Jun-23,7.58,8.79,1.21,15.96
RNST,25-Jul-23,Jun-23,0.75,0.83,0.08,10.67
ROAD,2-Aug-23,Jun-23,0.32,0.41,0.09,28.13
ROCK,2-Aug-23,Jun-23,0.97,1.18,0.21,21.65
ROG,3-Aug-23,Jun-23,1.05,1.07,0.02,1.9
ROIC,25-Jul-23,Jun-23,0.26,0.08,-0.18,-69.23
ROIV,14-Aug-23,Jun-23,-0.26,-0.38,-0.12,-46.15
ROK,1-Aug-23,Jun-23,3.19,3.01,-0.18,-5.64
ROKU,27-Jul-23,Jun-23,-1.28,-0.76,0.52,40.63
ROL,26-Jul-23,Jun-23,0.23,0.23,0,0
ROP,21-Jul-23,Jun-23,4,4.12,0.12,3
ROST,17-Aug-23,Jul-23,1.17,1.32,0.15,12.82
ROVR,1-Aug-23,Jun-23,-0.01,0.03,0.04,400
RPAY,9-Aug-23,Jun-23,0.21,0.19,-0.02,-9.52
RPD,8-Aug-23,Jun-23,0.11,0.18,0.07,63.64
RPM,26-Jul-23,May-23,1.29,1.36,0.07,5.43
RPRX,8-Aug-23,Jun-23,0.83,0.85,0.02,2.41
RPT,2-Aug-23,Jun-23,0.24,-0.02,-0.26,-108.33
RRBI,28-Jul-23,Jun-23,1.31,1.25,-0.06,-4.58
RRC,24-Jul-23,Jun-23,0.21,0.3,0.09,42.86
RRR,3-Aug-23,Jun-23,0.44,0.65,0.21,47.73
RS,27-Jul-23,Jun-23,6.52,6.49,-0.03,-0.46
RSG,31-Jul-23,Jun-23,1.33,1.41,0.08,6.02
RSI,2-Aug-23,Jun-23,-0.07,-0.04,0.03,42.86
RTX,25-Jul-23,Jun-23,1.17,1.29,0.12,10.26
RUN,2-Aug-23,Jun-23,-0.34,0.25,0.59,173.53
RUSHA,25-Jul-23,Jun-23,1.06,1.17,0.11,10.38
RVLV,2-Aug-23,Jun-23,0.07,0.1,0.03,42.86
RVMD,8-Aug-23,Jun-23,-0.83,-0.92,-0.09,-10.84
RVNC,8-Aug-23,Jun-23,-0.72,-0.8,-0.08,-11.11
RWT,27-Jul-23,Jun-23,0.1,0.14,0.04,40
RXRX,8-Aug-23,Jun-23,-0.38,-0.38,0,0
RXST,7-Aug-23,Jun-23,-0.47,-0.4,0.07,14.89
RYAM,8-Aug-23,Jun-23,-0.12,-0.25,-0.13,-108.33
RYAN,3-Aug-23,Jun-23,0.42,0.45,0.03,7.14
RYI,31-Jul-23,Jun-23,1.33,1.06,-0.27,-20.3
RYN,2-Aug-23,Jun-23,0.09,0.05,-0.04,-44.44
RYTM,1-Aug-23,Jun-23,-0.8,-0.82,-0.02,-2.5
S,31-Aug-23,Jul-23,-0.15,-0.08,0.07,46.67
SABR,3-Aug-23,Jun-23,-0.23,-0.17,0.06,26.09
SAFE,1-Aug-23,Jun-23,0.36,0.35,-0.01,-2.78
SAGE,7-Aug-23,Jun-23,-2.53,-2.68,-0.15,-5.93
SAH,27-Jul-23,Jun-23,1.63,1.83,0.2,12.27
SAIA,28-Jul-23,Jun-23,3.25,3.42,0.17,5.23
SAIC,7-Sep-23,Jul-23,1.6,2.05,0.45,28.13
SAM,27-Jul-23,Jun-23,3.45,4.72,1.27,36.81
SANA,3-Aug-23,Jun-23,-0.42,-0.45,-0.03,-7.14
SASR,25-Jul-23,Jun-23,0.69,0.6,-0.09,-13.04
SATS,8-Aug-23,Jun-23,0.23,0.39,0.16,69.57
SAVA,3-Aug-23,Jun-23,-0.58,-0.63,-0.05,-8.62
SAVE,3-Aug-23,Jun-23,0.38,0.29,-0.09,-23.68
SBAC,31-Jul-23,Jun-23,3.14,1.87,-1.27,-40.45
SBCF,27-Jul-23,Jun-23,0.41,0.37,-0.04,-9.76
SBGI,2-Aug-23,Jun-23,-0.58,-1.09,-0.51,-87.93
SBH,3-Aug-23,Jun-23,0.49,0.49,0,0
SBOW,2-Aug-23,Jun-23,1.44,1.44,0,0
SBRA,7-Aug-23,Jun-23,0.34,0.09,-0.25,-73.53
SBSI,25-Jul-23,Jun-23,0.69,0.82,0.13,18.84
SBUX,1-Aug-23,Jun-23,0.95,1,0.05,5.26
SCCO,1-Aug-23,Jun-23,0.76,0.71,-0.05,-6.58
SCHL,20-Jul-23,May-23,1.7,2.26,0.56,32.94
SCHW,18-Jul-23,Jun-23,0.72,0.75,0.03,4.17
SCI,1-Aug-23,Jun-23,0.8,0.83,0.03,3.75
SCL,26-Jul-23,Jun-23,1.17,0.53,-0.64,-54.7
SCPH,10-Aug-23,Jun-23,-0.37,-0.36,0.01,2.7
SCS,21-Jun-23,May-23,-0.03,0.09,0.12,400
SCSC,22-Aug-23,Jun-23,0.88,0.76,-0.12,-13.64
SCVL,29-Aug-23,Jul-23,0.81,0.71,-0.1,-12.35
SDGR,2-Aug-23,Jun-23,-0.43,-0.21,0.22,51.16
SDRL,15-Aug-23,Jun-23,0.51,1.16,0.65,127.45
SEAS,8-Aug-23,Jun-23,1.78,1.35,-0.43,-24.16
SEE,8-Aug-23,Jun-23,0.68,0.8,0.12,17.65
SEER,8-Aug-23,Jun-23,-0.38,-0.37,0.01,2.63
SEIC,26-Jul-23,Jun-23,0.85,0.89,0.04,4.71
SEM,3-Aug-23,Jun-23,0.61,0.61,0,0
SEMR,3-Aug-23,Jun-23,-0.02,0.03,0.05,250
SES,8-Aug-23,Jun-23,-0.06,-0.04,0.02,33.33
SFBS,20-Jul-23,Jun-23,0.89,0.98,0.09,10.11
SFIX,18-Sep-23,Jul-23,-0.22,-0.19,0.03,13.64
SFM,1-Aug-23,Jun-23,0.64,0.71,0.07,10.94
SFNC,25-Jul-23,Jun-23,0.41,0.48,0.07,17.07
SFST,25-Jul-23,Jun-23,0.32,0.31,-0.01,-3.13
SG,27-Jul-23,Jun-23,-0.19,-0.2,-0.01,-5.26
SGEN,2-Aug-23,Jun-23,-0.78,-1.13,-0.35,-44.87
SGH,29-Jun-23,May-23,0.4,0.66,0.26,65
SGMO,8-Aug-23,Jun-23,-0.35,-0.37,-0.02,-5.71
SGRY,1-Aug-23,Jun-23,0.07,0.28,0.21,300
SHAK,3-Aug-23,Jun-23,0.09,0.18,0.09,100
SHBI,27-Jul-23,Jun-23,0.32,0.25,-0.07,-21.88
SHC,3-Aug-23,Jun-23,0.18,0.21,0.03,16.67
SHCR,9-Aug-23,Jun-23,-0.03,-0.03,0,0
SHEN,2-Aug-23,Jun-23,-0.04,0.04,0.08,200
SHLS,1-Aug-23,Jun-23,0.13,0.14,0.01,7.69
SHO,4-Aug-23,Jun-23,0.31,0.19,-0.12,-38.71
SHOO,2-Aug-23,Jun-23,0.48,0.47,-0.01,-2.08
SHW,25-Jul-23,Jun-23,2.71,3.29,0.58,21.4
SHYF,27-Jul-23,Jun-23,0.23,0.25,0.02,8.7
SIBN,7-Aug-23,Jun-23,-0.41,-0.3,0.11,26.83
SIG,31-Aug-23,Jul-23,1.34,1.55,0.21,15.67
SIGI,2-Aug-23,Jun-23,0.99,0.99,0,0
SILK,1-Aug-23,Jun-23,-0.39,-0.35,0.04,10.26
SIRI,1-Aug-23,Jun-23,0.08,0.08,0,0
SITC,25-Jul-23,Jun-23,0.28,0.01,-0.27,-96.43
SITE,2-Aug-23,Jun-23,2.51,2.71,0.2,7.97
SITM,2-Aug-23,Jun-23,-0.29,-0.22,0.07,24.14
SIX,10-Aug-23,Jun-23,0.81,0.25,-0.56,-69.14
SJM,29-Aug-23,Jul-23,2.07,2.21,0.14,6.76
SJW,31-Jul-23,Jun-23,0.58,0.58,0,0
SKIN,9-Aug-23,Jun-23,0.05,0.07,0.02,40
SKT,3-Aug-23,Jun-23,0.45,0.23,-0.22,-48.89
SKX,27-Jul-23,Jun-23,0.52,0.98,0.46,88.46
SKY,1-Aug-23,Jun-23,0.78,0.89,0.11,14.1
SKYW,27-Jul-23,Jun-23,-0.46,0.35,0.81,176.09
SLAB,26-Jul-23,Jun-23,1.03,1.04,0.01,0.97
SLB,21-Jul-23,Jun-23,0.71,0.72,0.01,1.41
SLCA,27-Jul-23,Jun-23,0.54,0.6,0.06,11.11
SLDP,8-Aug-23,Jun-23,-0.1,-0.07,0.03,30
SLG,19-Jul-23,Jun-23,1.33,-5.63,-6.96,-523.31
SLGC,14-Aug-23,Jun-23,-0.18,-0.13,0.05,27.78
SLGN,26-Jul-23,Jun-23,0.91,0.83,-0.08,-8.79
SLM,26-Jul-23,Jun-23,1.14,1.1,-0.04,-3.51
SLP,6-Jul-23,May-23,0.21,0.2,-0.01,-4.76
SLVM,9-Aug-23,Jun-23,0.97,1.14,0.17,17.53
SM,2-Aug-23,Jun-23,1.02,1.28,0.26,25.49
SMAR,7-Sep-23,Jul-23,0.08,0.16,0.08,100
SMBC,24-Jul-23,Jun-23,1.08,1.43,0.35,32.41
SMBK,24-Jul-23,Jun-23,0.54,0.52,-0.02,-3.7
SMCI,8-Aug-23,Jun-23,3.4,3.51,0.11,3.24
SMG,2-Aug-23,Jun-23,1.41,1.17,-0.24,-17.02
SMMF,27-Jul-23,Jun-23,0.74,0.54,-0.2,-27.03
SMP,2-Aug-23,Jun-23,0.97,0.84,-0.13,-13.4
SMPL,29-Jun-23,May-23,0.42,0.44,0.02,4.76
SMRT,8-Aug-23,Jun-23,-0.05,-0.05,0,0
SMTC,13-Sep-23,Jul-23,0.02,0.11,0.09,450
SNA,20-Jul-23,Jun-23,4.53,4.89,0.36,7.95
SNBR,27-Jul-23,Jun-23,-0.01,0.03,0.04,400
SNCY,3-Aug-23,Jun-23,0.41,0.4,-0.01,-2.44
SNDR,3-Aug-23,Jun-23,0.44,0.45,0.01,2.27
SNDX,3-Aug-23,Jun-23,-0.73,-0.64,0.09,12.33
SNEX,2-Aug-23,Jun-23,2.44,3.36,0.92,37.7
SNOW,23-Aug-23,Jul-23,0.09,0.22,0.13,144.44
SNPS,16-Aug-23,Jul-23,2.73,2.88,0.15,5.49
SNV,19-Jul-23,Jun-23,1.14,1.16,0.02,1.75
SNX,27-Jun-23,May-23,2.5,2.43,-0.07,-2.8
SO,3-Aug-23,Jun-23,0.74,0.79,0.05,6.76
SOFI,31-Jul-23,Jun-23,-0.07,-0.06,0.01,14.29
SOI,27-Jul-23,Jun-23,0.2,0.25,0.05,25
SON,31-Jul-23,Jun-23,1.5,1.38,-0.12,-8
SOVO,7-Aug-23,Jun-23,0.13,0.17,0.04,30.77
SP,2-Aug-23,Jun-23,0.64,0.78,0.14,21.88
SPB,11-Aug-23,Jun-23,0.57,0.75,0.18,31.58
SPCE,1-Aug-23,Jun-23,-0.51,-0.46,0.05,9.8
SPFI,25-Jul-23,Jun-23,0.62,0.55,-0.07,-11.29
SPG,2-Aug-23,Jun-23,2.91,1.49,-1.42,-48.8
SPGI,27-Jul-23,Jun-23,3.12,3.12,0,0
SPLK,23-Aug-23,Jul-23,0.42,0.71,0.29,69.05
SPNS,2-Aug-23,Jun-23,0.33,0.33,0,0
SPOT,25-Jul-23,Jun-23,-0.8,-1.69,-0.89,-111.25
SPR,2-Aug-23,Jun-23,-0.79,-1.46,-0.67,-84.81
SPSC,27-Jul-23,Jun-23,0.62,0.69,0.07,11.29
SPT,3-Aug-23,Jun-23,-0.02,0.07,0.09,450
SPTN,17-Aug-23,Jun-23,0.63,0.65,0.02,3.17
SPWH,6-Sep-23,Jul-23,0.02,-0.04,-0.06,-300
SPWR,1-Aug-23,Jun-23,-0.03,-0.13,-0.1,-333.33
SPXC,2-Aug-23,Jun-23,0.84,1.06,0.22,26.19
SQ,3-Aug-23,Jun-23,0.35,0.39,0.04,11.43
SQSP,8-Aug-23,Jun-23,0.13,0.03,-0.1,-76.92
SR,2-Aug-23,Jun-23,-0.02,-0.42,-0.4,-2000
SRC,7-Aug-23,Jun-23,0.9,0.36,-0.54,-60
SRCE,20-Jul-23,Jun-23,1.12,1.3,0.18,16.07
SRCL,27-Jul-23,Jun-23,0.49,0.43,-0.06,-12.24
SRDX,2-Aug-23,Jun-23,-0.46,0.52,0.98,213.04
SRE,3-Aug-23,Jun-23,0.86,0.94,0.08,9.3
SRI,2-Aug-23,Jun-23,-0.04,-0.05,-0.01,-25
SRPT,2-Aug-23,Jun-23,-1.89,-0.27,1.62,85.71
SRRK,9-Aug-23,Jun-23,-0.56,-0.47,0.09,16.07
SSB,27-Jul-23,Jun-23,1.83,1.63,-0.2,-10.93
SSD,24-Jul-23,Jun-23,2.13,2.5,0.37,17.37
SSNC,27-Jul-23,Jun-23,1.12,1.08,-0.04,-3.57
SSP,4-Aug-23,Jun-23,-0.11,-0.09,0.02,18.18
SSRM,2-Aug-23,Jun-23,0.15,0.35,0.2,133.33
SSTI,8-Aug-23,Jun-23,0.01,-0.28,-0.29,-2900
SSTK,1-Aug-23,Jun-23,1.04,1.07,0.03,2.88
ST,25-Jul-23,Jun-23,0.95,0.97,0.02,2.11
STAA,2-Aug-23,Jun-23,0.32,0.4,0.08,25
STAG,26-Jul-23,Jun-23,0.56,0.29,-0.27,-48.21
STBA,20-Jul-23,Jun-23,0.92,0.89,-0.03,-3.26
STE,1-Aug-23,Jun-23,1.86,2,0.14,7.53
STEL,28-Jul-23,Jun-23,0.69,0.66,-0.03,-4.35
STEM,3-Aug-23,Jun-23,-0.23,-0.56,-0.33,-143.48
STEP,3-Aug-23,Jun-23,0.25,0.26,0.01,4
STER,8-Aug-23,Jun-23,0.27,0.28,0.01,3.7
STKL,9-Aug-23,Jun-23,-0.01,-0.03,-0.02,-200
STLD,19-Jul-23,Jun-23,4.82,4.81,-0.01,-0.21
STNE,16-Aug-23,Jun-23,0.17,0.19,0.02,11.76
STNG,2-Aug-23,Jun-23,2.38,2.41,0.03,1.26
STOK,7-Aug-23,Jun-23,-0.65,-0.69,-0.04,-6.15
STR,8-Aug-23,Jun-23,0.21,0.25,0.04,19.05
STRA,27-Jul-23,Jun-23,0.66,0.82,0.16,24.24
STRL,7-Aug-23,Jun-23,0.93,1.27,0.34,36.56
STRO,10-Aug-23,Jun-23,-0.73,-0.64,0.09,12.33
STT,14-Jul-23,Jun-23,2.08,2.17,0.09,4.33
STWD,3-Aug-23,Jun-23,0.48,0.49,0.01,2.08
STZ,30-Jun-23,May-23,2.83,2.91,0.08,2.83
SUI,26-Jul-23,Jun-23,1.95,0.72,-1.23,-63.08
SUM,2-Aug-23,Jun-23,0.6,0.71,0.11,18.33
SUPN,8-Aug-23,Jun-23,0.23,-0.02,-0.25,-108.7
SVC,7-Aug-23,Jun-23,0.58,-0.07,-0.65,-112.07
SVRA,10-Aug-23,Jun-23,-0.08,-0.07,0.01,12.5
SWAV,7-Aug-23,Jun-23,0.87,0.76,-0.11,-12.64
SWI,3-Aug-23,Jun-23,0.17,0.21,0.04,23.53
SWK,1-Aug-23,Jun-23,-0.38,-0.11,0.27,71.05
SWKS,7-Aug-23,Jun-23,1.67,1.73,0.06,3.59
SWN,3-Aug-23,Jun-23,0.07,0.09,0.02,28.57
SWTX,2-Aug-23,Jun-23,-1.25,-1.25,0,0
SWX,9-Aug-23,Jun-23,0.39,0.47,0.08,20.51
SXC,1-Aug-23,Jun-23,0.19,0.24,0.05,26.32
SXI,3-Aug-23,Jun-23,1.67,1.76,0.09,5.39
SYBT,26-Jul-23,Jun-23,0.96,0.94,-0.02,-2.08
SYF,18-Jul-23,Jun-23,1.22,1.32,0.1,8.2
SYK,3-Aug-23,Jun-23,2.38,2.54,0.16,6.72
SYNA,3-Aug-23,Jun-23,0.43,0.49,0.06,13.95
SYY,1-Aug-23,Jun-23,1.33,1.34,0.01,0.75
T,26-Jul-23,Jun-23,0.6,0.63,0.03,5
TALO,8-Aug-23,Jun-23,0.21,0.09,-0.12,-57.14
TAP,1-Aug-23,Jun-23,1.63,1.78,0.15,9.2
TARO,26-Jul-23,Jun-23,0.31,0.4,0.09,29.03
TARS,10-Aug-23,Jun-23,-1.08,-1.17,-0.09,-8.33
TBBK,27-Jul-23,Jun-23,0.86,0.89,0.03,3.49
TBPH,7-Aug-23,Jun-23,-0.16,-0.13,0.03,18.75
TCBI,20-Jul-23,Jun-23,0.94,1.33,0.39,41.49
TCBK,26-Jul-23,Jun-23,0.97,0.75,-0.22,-22.68
TCBX,26-Jul-23,Jun-23,0.5,0.53,0.03,6
TCMD,7-Aug-23,Jun-23,-0.07,0.05,0.12,171.43
TDC,7-Aug-23,Jun-23,0.45,0.48,0.03,6.67
TDG,8-Aug-23,Jun-23,6.33,7.25,0.92,14.53
TDOC,25-Jul-23,Jun-23,-0.44,-0.4,0.04,9.09
TDS,4-Aug-23,Jun-23,-0.04,-0.17,-0.13,-325
TDUP,8-Aug-23,Jun-23,-0.23,-0.18,0.05,21.74
TDW,7-Aug-23,Jun-23,0.74,0.46,-0.28,-37.84
TDY,26-Jul-23,Jun-23,4.63,4.67,0.04,0.86
TEAM,3-Aug-23,Jun-23,0.43,0.57,0.14,32.56
TECH,8-Aug-23,Jun-23,0.55,0.55,0,0
TELL,9-Aug-23,Jun-23,-0.05,-0.11,-0.06,-120
TENB,25-Jul-23,Jun-23,0.13,0.22,0.09,69.23
TER,26-Jul-23,Jun-23,0.66,0.79,0.13,19.7
TERN,8-Aug-23,Jun-23,-0.32,-0.25,0.07,21.88
TEX,1-Aug-23,Jun-23,1.61,2.35,0.74,45.96
TFC,20-Jul-23,Jun-23,0.98,0.95,-0.03,-3.06
TFSL,27-Jul-23,Jun-23,0.03,0.06,0.03,100
TFX,3-Aug-23,Jun-23,3.21,3.41,0.2,6.23
TGH,1-Aug-23,Jun-23,1.15,1.2,0.05,4.35
TGI,2-Aug-23,Jun-23,-0.05,-0.1,-0.05,-100
TGNA,3-Aug-23,Jun-23,0.42,0.44,0.02,4.76
TGT,16-Aug-23,Jul-23,1.41,1.8,0.39,27.66
TGTX,1-Aug-23,Jun-23,-0.26,-0.34,-0.08,-30.77
TH,9-Aug-23,Jun-23,0.37,0.44,0.07,18.92
THC,31-Jul-23,Jun-23,1.26,1.44,0.18,14.29
THFF,25-Jul-23,Jun-23,1.24,1.33,0.09,7.26
THG,2-Aug-23,Jun-23,-1.91,-1.91,0,0
THO,25-Sep-23,Jul-23,0.97,1.68,0.71,73.2
THR,3-Aug-23,Jun-23,0.28,0.4,0.12,42.86
THRM,1-Aug-23,Jun-23,0.54,0.58,0.04,7.41
THRY,3-Aug-23,Jun-23,0.63,0.43,-0.2,-31.75
THS,7-Aug-23,Jun-23,0.4,0.42,0.02,5
TILE,4-Aug-23,Jun-23,0.18,0.25,0.07,38.89
TITN,31-Aug-23,Jul-23,1.15,1.38,0.23,20
TJX,16-Aug-23,Jul-23,0.76,0.85,0.09,11.84
TKR,3-Aug-23,Jun-23,2.07,2.01,-0.06,-2.9
TMCI,8-Aug-23,Jun-23,-0.23,-0.2,0.03,13.04
TMDX,3-Aug-23,Jun-23,-0.15,-0.03,0.12,80
TMHC,26-Jul-23,Jun-23,1.66,2.12,0.46,27.71
TMO,26-Jul-23,Jun-23,5.43,5.15,-0.28,-5.16
TMP,21-Jul-23,Jun-23,1.02,0.59,-0.43,-42.16
TMST,3-Aug-23,Jun-23,0.57,0.6,0.03,5.26
TMUS,27-Jul-23,Jun-23,1.71,1.86,0.15,8.77
TNDM,3-Aug-23,Jun-23,-0.54,-0.3,0.24,44.44
TNET,26-Jul-23,Jun-23,1.33,1.74,0.41,30.83
TNGX,7-Aug-23,Jun-23,-0.35,-0.23,0.12,34.29
TNK,3-Aug-23,Jun-23,4.31,4.38,0.07,1.62
TNL,26-Jul-23,Jun-23,1.34,1.33,-0.01,-0.75
TNYA,9-Aug-23,Jun-23,-0.51,-0.45,0.06,11.76
TOL,22-Aug-23,Jul-23,2.86,3.73,0.87,30.42
TOST,8-Aug-23,Jun-23,-0.14,-0.19,-0.05,-35.71
TOWN,27-Jul-23,Jun-23,0.58,0.52,-0.06,-10.34
TPB,2-Aug-23,Jun-23,0.57,0.79,0.22,38.6
TPC,3-Aug-23,Jun-23,-0.01,-0.72,-0.71,-7100
TPG,8-Aug-23,Jun-23,0.32,0.26,-0.06,-18.75
TPH,27-Jul-23,Jun-23,0.55,0.6,0.05,9.09
TPIC,3-Aug-23,Jun-23,-0.88,-1.9,-1.02,-115.91
TPL,2-Aug-23,Jun-23,11.11,13.05,1.94,17.46
TPR,17-Aug-23,Jun-23,0.96,0.95,-0.01,-1.04
TPX,3-Aug-23,Jun-23,0.55,0.58,0.03,5.45
TRC,3-Aug-23,Jun-23,-0.02,0.01,0.03,150
TRDA,8-Aug-23,Jun-23,-0.43,-0.78,-0.35,-81.4
TREE,27-Jul-23,Jun-23,0.31,1.14,0.83,267.74
TREX,31-Jul-23,Jun-23,0.54,0.71,0.17,31.48
TRGP,3-Aug-23,Jun-23,1.23,1.44,0.21,17.07
TRIP,2-Aug-23,Jun-23,0.37,0.34,-0.03,-8.11
TRMB,3-Aug-23,Jun-23,0.58,0.64,0.06,10.34
